Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Arhgef2,NC_000069.7,+,27,0.116107110789772,0.45586316449427
gene-Cers5,NC_000081.7,-,10,0.116189810384548,0.45604941356703
gene-Pdss2,NC_000076.7,+,11,0.116327689009964,0.456452063703234
gene-Sarm1,NC_000077.7,-,11,0.116407462642136,0.456497852570785
gene-Zhx2,NC_000081.7,+,4,0.116409952662062,0.456497852570785
gene-Cd68,NC_000077.7,-,6,0.116485547166885,0.456655829496611
gene-Pygo2,NC_000069.7,+,10,0.11658249205077,0.456897384755334
gene-Abcb7,NC_000086.8,-,16,0.116671637261252,0.457055414835339
gene-Setdb1,NC_000069.7,-,24,0.116701001346345,0.457055414835339
gene-Lgi2,NC_000071.7,-,9,0.116728835939158,0.457055414835339
gene-Mknk1,NC_000070.7,+,13,0.116773041697242,0.457090117515264
gene-Evi5l,NC_000074.7,+,28,0.116854931473543,0.457207166602728
gene-Agap3,NC_000071.7,+,24,0.116887525677105,0.457207166602728
gene-B4galnt1,NC_000076.7,+,20,0.116909000228502,0.457207166602728
gene-Capza1,NC_000069.7,-,10,0.116984392706251,0.457323630643935
gene-Stox1,NC_000076.7,-,2,0.117009502342904,0.457323630643935
gene-Hcn3,NC_000069.7,-,15,0.117050724544825,0.457346531884659
gene-Srsf4,NC_000070.7,+,14,0.11711782717219,0.457372186975274
gene-Riok2,NC_000083.7,+,10,0.117128020046556,0.457372186975274
gene-Tbc1d22a,NC_000081.7,+,16,0.117579129322109,0.458995134175319
gene-Gm5820,NC_000084.7,+,2,0.117618918165116,0.459011909664889
gene-Zfp90,NC_000074.7,+,9,0.117689774551744,0.459149880626757
gene-Pde10a,NC_000083.7,+,27,0.117813326430819,0.459493290328644
gene-Cep43,NC_000083.7,+,13,0.11790835439693,0.459725278087275
gene-Il13ra1,NC_000086.8,+,2,0.117960990929869,0.459791891409281
gene-Metap2,NC_000076.7,-,13,0.11822349115663,0.46067623113248
gene-Hnrnpl,NC_000073.7,+,22,0.118268277601449,0.460711938017935
gene-Prkci,NC_000069.7,+,18,0.118335395413139,0.460834588641412
gene-Cog8,NC_000074.7,-,5,0.118409685362595,0.460905793938151
gene-Vps11,NC_000075.7,-,19,0.118424955791887,0.460905793938151
gene-Marveld1,NC_000085.7,+,2,0.118591269946178,0.461363082919135
gene-Trmt112,NC_000085.7,+,6,0.118628220112294,0.461363082919135
gene-Gm53853,NC_000080.7,-,2,0.118649471413365,0.461363082919135
gene-Nr1d2,NC_000080.7,+,15,0.11870707526171,0.461448333140875
gene-Rbm24,NC_000079.7,+,5,0.118882860030633,0.461879900957114
gene-Washc5,NC_000081.7,-,30,0.118889522174765,0.461879900957114
gene-Arhgap33,NC_000073.7,-,28,0.119006977641663,0.462017839104601
gene-Abitram,NC_000070.7,+,7,0.1190102547182,0.462017839104601
gene-Dnajc25,NC_000070.7,+,5,0.119032199790963,0.462017839104601
gene-Acot7,NC_000070.7,+,13,0.119126186547579,0.462243915577511
gene-Gfm2,NC_000079.7,+,28,0.119173653317415,0.462289399626313
gene-Vps52,NC_000083.7,+,27,0.119234582909793,0.462387064699358
gene-BC031181,NC_000084.7,+,7,0.119427639446152,0.462996900766514
gene-Sel1l3,NC_000071.7,-,25,0.119613978383335,0.463580336359507
gene-Golga3,NC_000071.7,+,26,0.119774831851909,0.464001865562003
gene-Mir9-2hg,NC_000079.7,+,8,0.119795873396775,0.464001865562003
gene-Cttnbp2,NC_000072.7,-,26,0.119830374312,0.464001865562003
gene-Mkrn2,NC_000072.7,+,10,0.119884651115425,0.464073089756298
gene-Hint3,NC_000076.7,-,7,0.11998548364073,0.464301791490214
gene-F2r,NC_000079.7,-,2,0.120015533051248,0.464301791490214
gene-Gm51536,NC_000074.7,+,2,0.12016711926973,0.464749208587147
gene-Wdr59,NC_000074.7,-,29,0.120408753419273,0.46532338743226
gene-Ccdc6,NC_000076.7,+,10,0.120425639124512,0.46532338743226
gene-Nlgn1,NC_000069.7,-,12,0.120445288535635,0.46532338743226
gene-Tiprl,NC_000067.7,-,11,0.120475334387271,0.46532338743226
gene-Septin8,NC_000077.7,+,15,0.12052179483114,0.46532338743226
gene-Ppa1,NC_000076.7,+,11,0.120531458122483,0.46532338743226
gene-Sirt3,NC_000073.7,-,8,0.120600664459919,0.465421751316664
gene-Cc2d1a,NC_000074.7,-,30,0.120628911344116,0.465421751316664
gene-Zfp949,NC_000075.7,+,9,0.12076294279687,0.465799922216497
gene-Mapk9,NC_000077.7,+,15,0.120918979774386,0.466194638353182
gene-Fstl4,NC_000077.7,+,10,0.12093803435901,0.466194638353182
gene-Ccar2,NC_000080.7,-,23,0.120973417328793,0.466194638353182
gene-Rnf138,NC_000084.7,+,9,0.121051377963615,0.466353448507584
gene-Spata2,NC_000068.8,-,7,0.121086745541519,0.466353448507584
gene-Pcyt1a,NC_000082.7,+,10,0.121220418636283,0.466729286758871
gene-Lzts1,NC_000074.7,-,7,0.121263812034629,0.466757405072578
gene-Rpusd2,NC_000068.8,+,3,0.121330007374279,0.466873247655922
gene-Arfgap3,NC_000081.7,-,18,0.121538435325646,0.467440811090256
gene-Agpat3,NC_000076.7,-,12,0.121549791053625,0.467440811090256
gene-Endod1,NC_000075.7,-,3,0.1217288463665,0.467893426113549
gene-Cdkn2aip,NC_000074.7,-,4,0.121755523583591,0.467893426113549
gene-Pid1,NC_000067.7,-,3,0.121776020435955,0.467893426113549
gene-Cnp,NC_000077.7,+,4,0.121824482493324,0.46793549581853
gene-Rgma,NC_000073.7,+,4,0.121859332708328,0.46793549581853
gene-Tollip,NC_000073.7,-,6,0.121969004874878,0.4680143439494
gene-Gm38983,NC_000073.7,-,2,0.121989469662934,0.4680143439494
gene-Shisal1,NC_000081.7,-,5,0.12199666137884,0.4680143439494
gene-Ubfd1,NC_000073.7,+,7,0.122057927114373,0.4680143439494
gene-Septin3,NC_000081.7,+,16,0.122129085147266,0.4680143439494
gene-Cep131,NC_000077.7,-,29,0.122131717610705,0.4680143439494
gene-Wdr97,NC_000081.7,+,22,0.122182083797885,0.4680143439494
gene-Lrfn4,NC_000085.7,-,4,0.122194765836888,0.4680143439494
gene-Lins1,NC_000073.7,+,17,0.122205554745003,0.4680143439494
gene-Rpl36a,NC_000086.8,+,5,0.12241146417212,0.468664140360577
gene-St13,NC_000081.7,-,14,0.122487435583755,0.468735699904287
gene-Acr,NC_000081.7,+,10,0.122502641744104,0.468735699904287
gene-Slc38a10,NC_000077.7,-,21,0.122659422275566,0.469112429172509
gene-Smap2,NC_000070.7,-,12,0.122673643815157,0.469112429172509
gene-Ipw,NC_000073.7,-,5,0.122862302578649,0.469583365408048
gene-Wdr91,NC_000072.7,-,15,0.122869412243164,0.469583365408048
gene-Sh3bgrl,NC_000086.8,+,4,0.123168644716168,0.470587911998287
gene-Mtx2,NC_000068.8,+,10,0.123259211238538,0.470794854975786
gene-Klhl8,NC_000071.7,-,14,0.123418638174737,0.471264613969258
gene-Gm3411,NC_000080.7,+,2,0.123626289238756,0.471918181441803
gene-Camk2d,NC_000069.7,+,26,0.123829224922411,0.472506619651018
gene-Cyb5d1,NC_000077.7,-,8,0.12385350967424,0.472506619651018
gene-Zswim6,NC_000079.7,-,14,0.124045191907632,0.473029470581983
gene-Eif4h,NC_000071.7,-,7,0.12406371021527,0.473029470581983
gene-Hdac6,NC_000086.8,-,35,0.124231337756455,0.473411332318958
gene-Prr3,NC_000083.7,-,12,0.124246360843039,0.473411332318958
gene-Psmc2,NC_000071.7,+,12,0.124326153139702,0.473411332318958
gene-Txndc16,NC_000080.7,-,26,0.124330698245412,0.473411332318958
gene-Egfr,NC_000077.7,+,28,0.124397684502514,0.473411332318958
gene-Rrm2b,NC_000081.7,-,13,0.124414374703506,0.473411332318958
gene-Qars1,NC_000075.7,+,24,0.124434461176064,0.473411332318958
gene-Ddx21,NC_000076.7,-,15,0.124464376537674,0.473411332318958
gene-Abca7,NC_000076.7,+,51,0.124493307138079,0.473411332318958
gene-Foxn3,NC_000078.7,-,10,0.124744797103975,0.474228236609554
gene-Rspo2,NC_000081.7,-,9,0.124951592979066,0.474874802232812
gene-Zfp788,NC_000073.7,+,7,0.125003998834946,0.474934405679306
gene-Ahsa1,NC_000078.7,+,10,0.12507072381041,0.475048361538922
gene-Gm45871,NC_000084.7,+,4,0.125308598718207,0.475812127781141
gene-Dcun1d5,NC_000075.7,+,12,0.12538646335592,0.475968045371914
gene-Wwc1,NC_000077.7,-,23,0.125585150493995,0.476582380087688
gene-Mosmo,NC_000073.7,+,6,0.125666664286858,0.476640720378964
gene-Zbtb40,NC_000070.7,-,20,0.125674233085307,0.476640720378964
gene-Brinp2,NC_000067.7,-,11,0.125739208890894,0.476747343472863
gene-Tob2,NC_000081.7,-,2,0.126087403469125,0.477925836882005
gene-Cntnap5a,NC_000067.7,+,24,0.126123937313715,0.477925836882005
gene-Usp6nl,NC_000068.8,+,17,0.126162766251863,0.477932939641285
gene-Prkd2,NC_000073.7,+,18,0.126271648608685,0.478205338640153
gene-Snx11,NC_000077.7,-,11,0.126569323400139,0.479026747201562
gene-C2cd3,NC_000073.7,+,36,0.126590694349458,0.479026747201562
gene-Scg5,NC_000068.8,-,16,0.12659966148109,0.479026747201562
gene-Mmachc,NC_000070.7,-,4,0.126758962187647,0.479489224326658
gene-Arap3,NC_000084.7,-,29,0.126885481581707,0.479784106256577
gene-Acox3,NC_000071.7,+,24,0.126911113237744,0.479784106256577
gene-Ammecr1l,NC_000084.7,+,13,0.127312719608861,0.481161719082819
gene-Tshz1,NC_000084.7,-,4,0.127393953405979,0.481328074612773
gene-Plagl1,NC_000076.7,+,11,0.127434572442952,0.48134092447567
gene-Nup133,NC_000074.7,-,26,0.127653798494938,0.482028197353293
gene-Immt,NC_000072.7,+,18,0.1279888658327,0.483152364802776
gene-Masp1,NC_000082.7,-,15,0.128153369763775,0.483590756967709
gene-Atl2,NC_000083.7,-,16,0.128179781557667,0.483590756967709
gene-Wdr19,NC_000071.7,+,37,0.128254262773837,0.483730644635182
gene-Vamp2,NC_000077.7,+,5,0.128333441245371,0.483888161990198
gene-Erlin2,NC_000074.7,+,17,0.128725356771405,0.485112605912733
gene-Ckap4,NC_000076.7,-,2,0.128733199063829,0.485112605912733
gene-Slc25a11,NC_000077.7,-,9,0.12879366743762,0.485199097282478
gene-Rnaseh1,NC_000078.7,+,10,0.129056673283386,0.48604832719104
gene-Iqsec2,NC_000086.8,+,19,0.129123356956581,0.48613927626222
gene-Nrp1,NC_000074.7,+,18,0.129156000404932,0.48613927626222
gene-Ephb1,NC_000075.7,-,16,0.129293893065832,0.486438853725336
gene-Tspan13,NC_000078.7,-,6,0.12931081567368,0.486438853725336
gene-Atg4c,NC_000070.7,+,14,0.129479624747936,0.486932243927029
gene-Zfp942,NC_000083.7,-,8,0.129541400360379,0.487022945017668
gene-Zfp213,NC_000083.7,-,6,0.129720854707186,0.487555888964845
gene-Susd6,NC_000078.7,+,6,0.129851343565375,0.487904539898603
gene-Rack1,NC_000077.7,+,8,0.129946327014444,0.488091969228658
gene-Fbxo33,NC_000078.7,-,5,0.129976706257133,0.488091969228658
gene-Erc2,NC_000080.7,+,24,0.130060550461909,0.48826505054394
gene-Idh3a,NC_000075.7,+,11,0.130143946926166,0.48843635101454
gene-Exosc10,NC_000070.7,+,30,0.130248539169785,0.488687077772796
gene-Gm29260,NC_000067.7,+,15,0.130351362660953,0.488931024737269
gene-Pcdhgc5,NC_000084.7,+,4,0.130542742101794,0.489506895796608
gene-Arid4a,NC_000078.7,+,26,0.130754398251541,0.490158444228167
gene-Pdk1,NC_000068.8,+,12,0.130884647921501,0.490504535371999
gene-Ireb2,NC_000075.7,+,25,0.130955039157545,0.490513396903471
gene-Pgm2,NC_000071.7,+,16,0.130962867046137,0.490513396903471
gene-Fig4,NC_000076.7,-,23,0.131063506666676,0.490748214163324
gene-Lrrc8b,NC_000071.7,+,5,0.131135000297276,0.490873794166329
gene-Elmod2,NC_000074.7,-,13,0.131234682430932,0.491104788159503
gene-Zfp235,NC_000073.7,+,9,0.131303119951541,0.491218759136038
gene-Map3k12,NC_000081.7,-,23,0.131482072377581,0.491745992498339
gene-Cwc27,NC_000079.7,-,15,0.131586197010375,0.491901285165301
gene-Pigs,NC_000077.7,+,12,0.131616574247157,0.491901285165301
gene-Sash1,NC_000076.7,-,16,0.13163769797859,0.491901285165301
gene-Sprn,NC_000073.7,-,2,0.131709298301066,0.492026676755541
gene-Rabac1,NC_000073.7,-,5,0.131941254270351,0.492622269397297
gene-Dffb,NC_000070.7,-,11,0.131944911558976,0.492622269397297
gene-Pgrmc1,NC_000086.8,+,3,0.132076824778246,0.492972460276205
gene-Med20,NC_000083.7,+,5,0.132199728755727,0.493288832082464
gene-B4galt3,NC_000067.7,+,8,0.13245493458556,0.494098548888101
gene-9130024F11Rik,NC_000067.7,+,3,0.13278024910184,0.495169250759543
gene-Arpc2,NC_000067.7,+,14,0.132865610442686,0.495344750606879
gene-Psmd14,NC_000068.8,+,12,0.133197453312408,0.496438807979646
gene-H2-DMa,NC_000083.7,+,9,0.13338522983248,0.496995441493363
gene-Micu2,NC_000080.7,-,14,0.133550212874242,0.497419954847648
gene-Slc4a3,NC_000067.7,+,31,0.133576084681503,0.497419954847648
gene-Sin3b,NC_000074.7,+,20,0.133748115972158,0.497917208942982
gene-Luzp1,NC_000070.7,+,6,0.133902925927997,0.498229399042366
gene-Ei24,NC_000075.7,-,12,0.133909022738055,0.498229399042366
gene-Rbm41,NC_000086.8,-,7,0.133981287885525,0.498354902566435
gene-Rbm12,NC_000068.8,-,4,0.134167900681909,0.498657615936501
gene-Slc12a4,NC_000074.7,-,25,0.134176862005936,0.498657615936501
gene-Zdhhc21,NC_000070.7,-,10,0.134178342492772,0.498657615936501
gene-Gm5953,NC_000078.7,+,5,0.1342444400667,0.498759937771513
gene-Drg1,NC_000077.7,-,11,0.13434164991039,0.498977759417309
gene-Cdip1,NC_000082.7,-,14,0.134453854138763,0.499177817240417
gene-Gnpda1,NC_000084.7,-,8,0.134483595969511,0.499177817240417
gene-Arl14ep,NC_000068.8,-,6,0.134511303880217,0.499177817240417
gene-Polb,NC_000074.7,-,18,0.134795540334621,0.50008913458051
gene-Zfp142,NC_000067.7,-,15,0.134849620346528,0.500146297660353
gene-Synj2bp,NC_000078.7,-,5,0.135056156621828,0.50066116281027
gene-Vps4a,NC_000074.7,+,11,0.135065862293747,0.50066116281027
gene-Tie1,NC_000070.7,-,23,0.135145571727932,0.500715907799561
gene-Slc29a3,NC_000076.7,-,7,0.135158063413614,0.500715907799561
gene-Disc1,NC_000074.7,+,3,0.135317709621754,0.501163785377475
gene-Map4k5,NC_000078.7,-,32,0.135368506281099,0.501176512276907
gene-Prdx3,NC_000085.7,-,7,0.135398649493197,0.501176512276907
gene-Polk,NC_000079.7,-,16,0.135644563436873,0.501889396666728
gene-Uprt,NC_000086.8,+,7,0.135736271094198,0.501889396666728
gene-Dync1i2,NC_000068.8,+,23,0.135745809854084,0.501889396666728
gene-Zfp423,NC_000074.7,-,8,0.135765667155902,0.501889396666728
gene-Lrp6,NC_000072.7,-,23,0.13578527788888,0.501889396666728
gene-Tns3,NC_000077.7,-,21,0.135930675115855,0.502056223917942
gene-Plekha6,NC_000067.7,+,28,0.136002617080858,0.502056223917942
gene-A230070E04Rik,NC_000080.7,+,3,0.136007268509932,0.502056223917942
gene-Tceanc2,NC_000070.7,-,5,0.136094146713875,0.502056223917942
gene-Zfp263,NC_000082.7,+,7,0.136134733181849,0.502056223917942
gene-Rps6ka6,NC_000086.8,-,26,0.136142322537888,0.502056223917942
gene-Pcdha12,NC_000084.7,+,4,0.136176721725178,0.502056223917942
gene-Fbxl22,NC_000075.7,-,2,0.13622379483644,0.502056223917942
gene-Pcdha10,NC_000084.7,+,4,0.1362780385672,0.502056223917942
gene-Eef1ece2,NC_000082.7,+,20,0.136283259017187,0.502056223917942
gene-Vav2,NC_000068.8,-,30,0.136295743503767,0.502056223917942
gene-Ggcx,NC_000072.7,+,20,0.136296250071592,0.502056223917942
gene-Sltm,NC_000075.7,+,31,0.136404939444013,0.502313519883092
gene-Hcfc2,NC_000076.7,+,17,0.136459136852764,0.502370058900311
gene-Zfp157,NC_000071.7,+,13,0.136507293088108,0.502404331675725
gene-Ccn6,NC_000076.7,-,4,0.136574476970885,0.502508594783628
gene-Senp3,NC_000077.7,-,11,0.136635932601068,0.502564790781639
gene-Pwp2,NC_000076.7,-,22,0.136693396351587,0.502564790781639
gene-Itch,NC_000068.8,+,27,0.136744142272859,0.502564790781639
gene-Mllt3,NC_000070.7,-,15,0.136798208144762,0.502564790781639
gene-Hdac11,NC_000072.7,+,14,0.13680924047844,0.502564790781639
gene-Hif3a,NC_000073.7,-,8,0.13682290484359,0.502564790781639
gene-Ehd2,NC_000073.7,-,6,0.136962887773726,0.502919417622091
gene-Sult4a1,NC_000081.7,-,8,0.137022396240708,0.502919417622091
gene-Clint1,NC_000077.7,+,14,0.137036111319899,0.502919417622091
gene-Spry4,NC_000084.7,-,2,0.13715417009468,0.503209895555886
gene-2810408A11Rik,NC_000077.7,-,17,0.137233903072847,0.503359633704235
gene-Noc4l,NC_000071.7,-,15,0.137310066260936,0.503496197037904
gene-Hyi,NC_000070.7,+,7,0.137397993593165,0.503675808146373
gene-Pdpk1,NC_000083.7,-,16,0.137463582878195,0.503747700565652
gene-Gpr21,NC_000068.8,+,2,0.137542767963702,0.503747700565652
gene-Septin10,NC_000076.7,-,12,0.137595266027666,0.503747700565652
gene-Hsf2,NC_000076.7,+,17,0.137600758823184,0.503747700565652
gene-Mapk14,NC_000083.7,+,13,0.13761235800653,0.503747700565652
gene-Gm15927,NC_000073.7,-,2,0.138054672714437,0.505223848957504
gene-Hepacam,NC_000075.7,+,8,0.138240730310145,0.505279456423774
gene-B3gat1,NC_000075.7,+,12,0.138249206348745,0.505279456423774
gene-Aarsd1,NC_000077.7,-,15,0.138270731037734,0.505279456423774
gene-Ankrd46,NC_000081.7,-,7,0.138271398722819,0.505279456423774
gene-Osbp2,NC_000077.7,-,16,0.138272368906097,0.505279456423774
gene-Usp4,NC_000075.7,+,25,0.138363041201054,0.505279456423774
gene-Cygb,NC_000077.7,-,4,0.138373175069109,0.505279456423774
gene-Bag5,NC_000078.7,-,5,0.138400581166326,0.505279456423774
gene-Cul4a,NC_000074.7,+,20,0.138421488758171,0.505279456423774
gene-Coro2b,NC_000075.7,-,12,0.138472706184589,0.505323789245284
gene-Rab3c,NC_000079.7,-,6,0.138544721874411,0.505443974048452
gene-Eeig1,NC_000068.8,+,11,0.138591719584709,0.505472845287376
gene-Cfap119,NC_000073.7,-,8,0.138688265849696,0.505682363189771
gene-Cmtm4,NC_000074.7,-,4,0.138789947095166,0.505910480772767
gene-Zfp275,NC_000086.8,+,8,0.13884756221063,0.50597788731194
gene-Prnp,NC_000068.8,+,4,0.138894858722799,0.506007664186467
gene-Kcnab1,NC_000069.7,+,14,0.139084816503213,0.506557006994103
gene-Rps25,NC_000075.7,+,5,0.139125683130812,0.506563192548084
gene-Hif1an,NC_000085.7,+,8,0.139271566685318,0.506696853623415
gene-Piezo1,NC_000074.7,-,47,0.139276227048955,0.506696853623415
gene-Pla2g7,NC_000083.7,+,12,0.139279928449025,0.506696853623415
gene-Bcar3,NC_000069.7,+,10,0.1395358188944,0.507348235049237
gene-Acat1,NC_000075.7,-,12,0.139537436949674,0.507348235049237
gene-Oxsr1,NC_000075.7,-,19,0.139869815612147,0.508413807001659
gene-Klf9,NC_000085.7,+,2,0.139948631868829,0.508432174380044
gene-Abcc8,NC_000073.7,-,47,0.139953494223533,0.508432174380044
gene-Unk,NC_000077.7,+,22,0.14003885684435,0.50859942026621
gene-Fdft1,NC_000080.7,-,12,0.14009502014556,0.508660554616095
gene-Haus2,NC_000068.8,+,6,0.140160952553995,0.508757114617125
gene-Ptchd4,NC_000083.7,+,3,0.140549614596804,0.51002473781719
gene-Eftud2,NC_000077.7,-,30,0.14089760441207,0.511144100381851
gene-Jkamp,NC_000078.7,+,8,0.141022711880073,0.511326912328376
gene-Nlgn3,NC_000086.8,+,7,0.141027069997318,0.511326912328376
gene-1700030J22Rik,NC_000074.7,-,2,0.141152859216171,0.511639553879693
gene-Acsbg1,NC_000075.7,-,15,0.141221425314217,0.511744660574046
gene-Uggt2,NC_000080.7,-,55,0.141585535341935,0.512920372150491
gene-Slc25a25,NC_000068.8,-,14,0.141629945356743,0.512937575832751
gene-Sh2d4b,NC_000080.7,-,12,0.141709641879468,0.513082530354749
gene-Vps26a,NC_000076.7,-,9,0.141841123436439,0.513414847300157
gene-Gm57587,NC_000078.7,+,3,0.141919784506334,0.513555840240742
gene-Nadsyn1,NC_000073.7,-,15,0.141984465826249,0.513646180847798
gene-Tusc3,NC_000074.7,+,13,0.142082052815769,0.513855477926827
gene-Kat6b,NC_000080.7,+,25,0.142445450040522,0.515025721379388
gene-Zc3h4,NC_000073.7,+,21,0.142523550592363,0.515164080439082
gene-Rbms1,NC_000068.8,-,17,0.142622787987084,0.515378741837653
gene-Gm31255,NC_000071.7,+,2,0.142743071590569,0.515576842740224
gene-Naaa,NC_000071.7,-,12,0.142757339662317,0.515576842740224
gene-Cdc5l,NC_000083.7,-,16,0.142835142609224,0.515713818918229
gene-Scn8a,NC_000081.7,+,29,0.14289037930317,0.515769264730086
gene-Pts,NC_000075.7,-,21,0.142993975325433,0.515933587558713
gene-Sgo2a,NC_000067.7,+,9,0.143015689429984,0.515933587558713
gene-Mcl1,NC_000069.7,+,6,0.143098187034434,0.51608724286568
gene-Ercc3,NC_000084.7,+,15,0.143234781638615,0.516348955126053
gene-Atg4a,NC_000086.8,+,13,0.143250603185052,0.516348955126053
gene-Amigo1,NC_000069.7,+,9,0.14340347282211,0.516755952635372
gene-Itpkb,NC_000067.7,+,8,0.143515091006013,0.517014114757875
gene-Cd99l2,NC_000086.8,-,12,0.143615287539464,0.517230997980475
gene-Clip3,NC_000073.7,+,16,0.143800425301795,0.517687114566201
gene-Sh3pxd2b,NC_000077.7,+,16,0.143821990461328,0.517687114566201
gene-Lsm11,NC_000077.7,-,4,0.143924132836144,0.517910631599848
gene-Glra2,NC_000086.8,-,14,0.144047982122266,0.518212114822605
gene-Aim2,NC_000067.7,+,17,0.14437456339363,0.51924255516402
gene-Fgf13,NC_000086.8,-,11,0.144456234869728,0.51937296175096
gene-Kif3c,NC_000078.7,+,8,0.144536166460156,0.51937296175096
gene-Noct,NC_000069.7,+,3,0.144551611636587,0.51937296175096
gene-Dcaf8,NC_000067.7,+,19,0.144571457689898,0.51937296175096
gene-Pdpr,NC_000074.7,+,21,0.144720832740713,0.519765212395347
gene-Snw1,NC_000078.7,-,14,0.144875567966646,0.520047508285954
gene-Rnasel,NC_000067.7,+,14,0.144879855590682,0.520047508285954
gene-Bend3,NC_000076.7,+,4,0.144963907183057,0.520204831187146
gene-Scaf8,NC_000083.7,+,20,0.145109763220949,0.520307874046105
gene-Ccbe1,NC_000084.7,-,12,0.145115894936364,0.520307874046105
gene-Gstm5,NC_000069.7,+,8,0.145123598986042,0.520307874046105
gene-Nxf1,NC_000085.7,+,23,0.14515354593353,0.520307874046105
gene-Optc,NC_000067.7,-,5,0.145200078735932,0.520330456717044
gene-Oxtr,NC_000072.7,-,2,0.14531597476397,0.520498112358911
gene-Slc27a1,NC_000074.7,+,25,0.14532735511699,0.520498112358911
gene-Sema3c,NC_000071.7,+,18,0.145369941468487,0.520503627686456
gene-Akap17b,NC_000086.8,-,7,0.145409387368063,0.520503627686456
gene-Rprd1a,NC_000084.7,-,12,0.145511697420452,0.520725728483317
gene-Cfap69,NC_000071.7,-,24,0.145975564018651,0.522156282170118
gene-Zfp612,NC_000074.7,+,8,0.145992199514973,0.522156282170118
gene-Anxa5,NC_000069.7,-,13,0.146315377126307,0.522807768268542
gene-Ankrd26,NC_000072.7,-,35,0.146349651705111,0.522807768268542
gene-Dhx37,NC_000071.7,-,31,0.146376223273198,0.522807768268542
gene-Psap,NC_000076.7,+,18,0.146388652874364,0.522807768268542
gene-Ak5,NC_000069.7,-,18,0.146395030050615,0.522807768268542
gene-Gnao1,NC_000074.7,+,13,0.146416897600608,0.522807768268542
gene-Smg7,NC_000067.7,-,29,0.146653110369234,0.523352018533112
